Stationname;Date;Latitude;Longitude;StationHeight;UnitOfHeight;geoQualityLevel;air temperature;UnitOfTemp;Temp. Ground QualityLevel
Berlin-Tegel;2016-07-23T00:00:00Z;52.564412;13.308848;36;m;certain;16.5;degree C;low
Berlin-Tegel;2016-07-23T01:00:00Z;52.564412;13.308848;36;m;certain;12.0;degree C;low
Berlin-Tegel;2016-07-23T02:00:00Z;52.564412;13.308848;36;m;certain;15.0;degree C;low
Berlin-Tegel;2016-07-23T03:00:00Z;52.564412;13.308848;36;m;certain;14.7;degree C;low
Berlin-Tegel;2016-07-23T04:00:00Z;52.564412;13.308848;36;m;certain;14.6;degree C;low
Berlin-Tegel;2016-07-23T05:00:00Z;52.564412;13.308848;36;m;certain;18.5;degree C;low
Berlin-Tegel;2016-07-23T06:00:00Z;52.564412;13.308848;36;m;certain;22.2;degree C;low
Berlin-Tegel;2016-07-23T07:00:00Z;52.564412;13.308848;36;m;certain;25.7;degree C;low
Berlin-Tegel;2016-07-23T08:00:00Z;52.564412;13.308848;36;m;certain;28.4;degree C;low
Berlin-Tegel;2016-07-23T09:00:00Z;52.564412;13.308848;36;m;certain;30.5;degree C;low
Berlin-Tegel;2016-07-23T10:00:00Z;52.564412;13.308848;36;m;certain;31.4;degree C;low
Berlin-Tegel;2016-07-23T11:00:00Z;52.564412;13.308848;36;m;certain;34.2;degree C;low
Berlin-Tegel;2016-07-23T12:00:00Z;52.564412;13.308848;36;m;certain;36.4;degree C;low
Berlin-Tegel;2016-07-23T13:00:00Z;52.564412;13.308848;36;m;certain;31.3;degree C;low
Berlin-Tegel;2016-07-23T14:00:00Z;52.564412;13.308848;36;m;certain;31.5;degree C;low
Berlin-Tegel;2016-07-23T15:00:00Z;52.564412;13.308848;36;m;certain;31.0;degree C;low
Berlin-Tegel;2016-07-23T16:00:00Z;52.564412;13.308848;36;m;certain;29.7;degree C;low
Berlin-Tegel;2016-07-23T17:00:00Z;52.564412;13.308848;36;m;certain;27.2;degree C;low
Berlin-Tegel;2016-07-23T18:00:00Z;52.564412;13.308848;36;m;certain;25.1;degree C;low
Berlin-Tegel;2016-07-23T19:00:00Z;52.564412;13.308848;36;m;certain;22.8;degree C;low
Berlin-Tegel;2016-07-23T20:00:00Z;52.564412;13.308848;36;m;certain;21.2;degree C;low
Berlin-Tegel;2016-07-23T21:00:00Z;52.564412;13.308848;36;m;certain;19.8;degree C;low
Berlin-Tegel;2016-07-23T22:00:00Z;52.564412;13.308848;36;m;certain;18.8;degree C;low
Berlin-Tegel;2016-07-23T23:00:00Z;52.564412;13.308848;36;m;certain;17.9;degree C;low
Berlin-Tegel;2016-07-24T00:00:00Z;52.564412;13.308848;36;m;certain;17.9;degree C;low
Berlin-Tegel;2016-07-24T01:00:00Z;52.564412;13.308848;36;m;certain;17.6;degree C;low
Berlin-Tegel;2016-07-24T02:00:00Z;52.564412;13.308848;36;m;certain;16.6;degree C;low
Berlin-Tegel;2016-07-24T03:00:00Z;52.564412;13.308848;36;m;certain;16.1;degree C;low
Berlin-Tegel;2016-07-24T04:00:00Z;52.564412;13.308848;36;m;certain;16.0;degree C;low
Berlin-Tegel;2016-07-24T05:00:00Z;52.564412;13.308848;36;m;certain;17.4;degree C;low
Berlin-Tegel;2016-07-24T06:00:00Z;52.564412;13.308848;36;m;certain;22.2;degree C;low
Berlin-Tegel;2016-07-24T07:00:00Z;52.564412;13.308848;36;m;certain;24.5;degree C;low
Berlin-Tegel;2016-07-24T08:00:00Z;52.564412;13.308848;36;m;certain;26.9;degree C;low
Berlin-Tegel;2016-07-24T09:00:00Z;52.564412;13.308848;36;m;certain;30.3;degree C;low
Berlin-Tegel;2016-07-24T10:00:00Z;52.564412;13.308848;36;m;certain;29.4;degree C;low
Berlin-Tegel;2016-07-24T11:00:00Z;52.564412;13.308848;36;m;certain;31.7;degree C;low
Berlin-Tegel;2016-07-24T12:00:00Z;52.564412;13.308848;36;m;certain;36.4;degree C;low
Berlin-Tegel;2016-07-24T13:00:00Z;52.564412;13.308848;36;m;certain;35.0;degree C;low
Berlin-Tegel;2016-07-24T14:00:00Z;52.564412;13.308848;36;m;certain;34.0;degree C;low
Berlin-Tegel;2016-07-24T15:00:00Z;52.564412;13.308848;36;m;certain;33.9;degree C;low
Berlin-Tegel;2016-07-24T16:00:00Z;52.564412;13.308848;36;m;certain;32.3;degree C;low
Berlin-Tegel;2016-07-24T17:00:00Z;52.564412;13.308848;36;m;certain;29.4;degree C;low
Berlin-Tegel;2016-07-24T18:00:00Z;52.564412;13.308848;36;m;certain;27.1;degree C;low
Berlin-Tegel;2016-07-24T19:00:00Z;52.564412;13.308848;36;m;certain;24.6;degree C;low
Berlin-Tegel;2016-07-24T20:00:00Z;52.564412;13.308848;36;m;certain;22.6;degree C;low
Berlin-Tegel;2016-07-24T21:00:00Z;52.564412;13.308848;36;m;certain;20.6;degree C;low
Berlin-Tegel;2016-07-24T22:00:00Z;52.564412;13.308848;36;m;certain;20.7;degree C;low
Berlin-Tegel;2016-07-24T23:00:00Z;52.564412;13.308848;36;m;certain;19.1;degree C;low
Braunschweig;2016-07-23T00:00:00Z;52.291443;10.446456;81.2;m;certain;17.4;degree C;low
Braunschweig;2016-07-23T01:00:00Z;52.291443;10.446456;81.2;m;certain;17.2;degree C;low
Braunschweig;2016-07-23T02:00:00Z;52.291443;10.446456;81.2;m;certain;17.3;degree C;low
Braunschweig;2016-07-23T03:00:00Z;52.291443;10.446456;81.2;m;certain;17.2;degree C;low
Braunschweig;2016-07-23T04:00:00Z;52.291443;10.446456;81.2;m;certain;17.0;degree C;low
Braunschweig;2016-07-23T05:00:00Z;52.291443;10.446456;81.2;m;certain;17.5;degree C;low
Braunschweig;2016-07-23T06:00:00Z;52.291443;10.446456;81.2;m;certain;18.4;degree C;low
Braunschweig;2016-07-23T11:00:00Z;52.291443;10.446456;81.2;m;certain;27.2;degree C;low
Braunschweig;2016-07-23T13:00:00Z;52.291443;10.446456;81.2;m;certain;29.8;degree C;low
Braunschweig;2016-07-23T14:00:00Z;52.291443;10.446456;81.2;m;certain;28.8;degree C;low
Braunschweig;2016-07-23T15:00:00Z;52.291443;10.446456;81.2;m;certain;26.7;degree C;low
Braunschweig;2016-07-23T16:00:00Z;52.291443;10.446456;81.2;m;certain;24.5;degree C;low
Braunschweig;2016-07-23T17:00:00Z;52.291443;10.446456;81.2;m;certain;23.2;degree C;low
Braunschweig;2016-07-23T18:00:00Z;52.291443;10.446456;81.2;m;certain;22.2;degree C;low
Braunschweig;2016-07-23T19:00:00Z;52.291443;10.446456;81.2;m;certain;19.7;degree C;low
Braunschweig;2016-07-23T20:00:00Z;52.291443;10.446456;81.2;m;certain;19.4;degree C;low
Braunschweig;2016-07-23T21:00:00Z;52.291443;10.446456;81.2;m;certain;19.0;degree C;low
Braunschweig;2016-07-23T22:00:00Z;52.291443;10.446456;81.2;m;certain;18.6;degree C;low
Braunschweig;2016-07-23T23:00:00Z;52.291443;10.446456;81.2;m;certain;18.3;degree C;low
Braunschweig;2016-07-24T00:00:00Z;52.291443;10.446456;81.2;m;certain;17.6;degree C;low
Braunschweig;2016-07-24T01:00:00Z;52.291443;10.446456;81.2;m;certain;17.8;degree C;low
Braunschweig;2016-07-24T02:00:00Z;52.291443;10.446456;81.2;m;certain;17.6;degree C;low
Braunschweig;2016-07-24T03:00:00Z;52.291443;10.446456;81.2;m;certain;17.3;degree C;low
Braunschweig;2016-07-24T04:00:00Z;52.291443;10.446456;81.2;m;certain;17.4;degree C;low
Braunschweig;2016-07-24T05:00:00Z;52.291443;10.446456;81.2;m;certain;20.5;degree C;low
Braunschweig;2016-07-24T06:00:00Z;52.291443;10.446456;81.2;m;certain;20.9;degree C;low
Braunschweig;2016-07-24T07:00:00Z;52.291443;10.446456;81.2;m;certain;23.8;degree C;low
Braunschweig;2016-07-24T09:00:00Z;52.291443;10.446456;81.2;m;certain;25.6;degree C;low
Braunschweig;2016-07-24T11:00:00Z;52.291443;10.446456;81.2;m;certain;28.8;degree C;low
Braunschweig;2016-07-24T14:00:00Z;52.291443;10.446456;81.2;m;certain;33.1;degree C;low
Braunschweig;2016-07-24T15:00:00Z;52.291443;10.446456;81.2;m;certain;32.0;degree C;low
Braunschweig;2016-07-24T16:00:00Z;52.291443;10.446456;81.2;m;certain;28.5;degree C;low
